Income,Recency,NumWebVisitsMonth,Complain,Age,Total_spend,Total_purchase,Total_children,accepted_camp,Total_adults,Family_size,Customer_Since_Years,Education_encode
0,58138.0,58,7,0,66,1617,25,0,1,1,1,11,2
1,46344.0,38,5,0,69,27,6,2,0,1,3,9,2
2,71613.0,26,4,0,58,776,21,0,0,2,2,10,2
3,26646.0,26,6,0,39,53,8,1,0,2,3,9,2
4,58293.0,94,5,0,42,422,19,1,0,2,3,9,4
5,62513.0,16,6,0,56,716,22,1,0,2,3,10,3
6,55635.0,34,6,0,52,590,21,1,0,1,2,11,2
7,33454.0,32,8,0,38,169,10,1,0,2,3,10,4
8,30351.0,19,9,0,49,46,6,1,1,2,3,10,4
9,5648.0,68,20,0,73,49,2,2,1,2,4,9,4
11,7500.0,59,8,0,47,61,6,0,0,2,2,11,1
12,63033.0,82,2,0,64,1102,16,0,0,1,1,10,2
13,59354.0,53,6,0,71,310,15,2,0,1,3,10,3
14,17323.0,38,8,0,36,46,5,0,0,2,2,11,2
15,82800.0,23,3,0,77,1315,26,0,3,1,1,11,4
16,41850.0,51,8,0,43,96,9,2,0,2,4,11,2
17,37760.0,20,7,0,77,317,13,0,0,2,2,11,2
18,76995.0,91,5,0,74,1782,26,1,1,2,3,10,3
19,33812.0,86,6,0,38,133,8,1,0,1,2,11,3
20,37040.0,41,8,0,41,316,12,0,0,2,2,11,2
21,2447.0,42,1,0,44,1730,43,1,0,2,3,10,2
22,58607.0,63,8,0,74,972,17,1,1,2,3,11,4
23,65324.0,0,4,0,69,544,20,1,0,2,3,9,4
24,40689.0,69,8,0,72,444,20,1,0,2,3,10,2
25,18589.0,89,7,0,54,75,8,0,0,1,1,10,2
26,53359.0,4,7,0,47,257,14,2,0,2,4,10,2
28,38360.0,26,3,0,34,131,9,1,0,2,3,10,2
29,84618.0,96,2,0,58,1672,26,0,1,2,2,10,4
30,10979.0,34,5,0,34,30,8,0,0,1,1,9,3
31,38620.0,56,3,0,60,318,11,0,0,2,2,10,3
32,40548.0,31,5,0,53,120,9,1,1,2,3,11,2
33,46610.0,8,6,0,71,302,17,2,1,1,3,11,4
34,68657.0,4,7,0,77,1196,18,0,0,2,2,10,3
35,49389.0,55,7,0,72,65,6,2,0,1,3,10,3
36,67353.0,37,2,0,53,913,28,1,0,2,3,10,4
37,23718.0,76,7,0,47,81,9,1,0,2,3,10,3
38,42429.0,99,5,0,50,67,7,1,0,1,2,9,2
