ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Total_spend,Total_purchase,Total_children,accepted_camp,Total_adults,Family_size,Customer_Since_Years,Education_encode,Cluster,Age_bins
0,5524,1957,Graduation,Single,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,66,1617,25,0,1,1,1,11,2,2,60-80
1,2174,1954,Graduation,Single,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,69,27,6,2,0,1,3,9,2,1,60-80
2,4141,1965,Graduation,Couple,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,58,776,21,0,0,2,2,10,2,2,40-60
3,6182,1984,Graduation,Couple,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,39,53,8,1,0,2,3,9,2,1,20-40
4,5324,1981,PhD,Couple,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,42,422,19,1,0,2,3,9,4,1,40-60
5,7446,1967,Master,Couple,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,56,716,22,1,0,2,3,10,3,2,40-60
6,965,1971,Graduation,Single,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,52,590,21,1,0,1,2,11,2,2,40-60
7,6177,1985,PhD,Couple,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,38,169,10,1,0,2,3,10,4,1,20-40
8,4855,1974,PhD,Couple,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,49,46,6,1,1,2,3,10,4,1,40-60
9,5899,1950,PhD,Couple,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,73,49,2,2,1,2,4,9,4,1,60-80
11,387,1976,Basic,Couple,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,47,61,6,0,0,2,2,11,1,1,40-60
